8 	ExecutionReport
D 	NewOrderSingle
G 	OrderCancelReplaceRequest
F 	OrderCancelRequest
9 	OrderCancelReject
3 	Reject
A 	Logon
5 	Logout
0 	Heartbeat
1 	TestRequest
2 	ResendRequest
4 	SequenceReset
6 	IOI
7 	Advertisement
AA 	DerivativeSecurityList
AB 	NewOrderMultileg
AC 	MultilegOrderCancelReplace
AD 	TradeCaptureReportRequest
AE 	TradeCaptureReport
AF 	OrderMassStatusRequest
AG 	QuoteRequestReject
AH 	RFQRequest
AI 	QuoteStatusReport
AJ 	QuoteResponse
AK 	Confirmation
AL 	PositionMaintenanceRequest
AM 	PositionMaintenanceReport
AN 	RequestForPositions
AO 	RequestForPositionsAck
AP 	PositionReport
AQ 	TradeCaptureReportRequestAck
AR 	TradeCaptureReportAck
AS 	AllocationReport
AT 	AllocationReportAck
AU 	Confirmation_Ack
AV 	SettlementInstructionRequest
AW 	AssignmentReport
AX 	CollateralRequest
AY 	CollateralAssignment
AZ 	CollateralResponse
B 	News
BA 	CollateralReport
BB 	CollateralInquiry
BC 	NetworkCounterpartySystemStatusRequest
BD 	NetworkCounterpartySystemStatusResponse
BE 	UserRequest
BF 	UserResponse
BG 	CollateralInquiryAck
BH 	ConfirmationRequest
BI 	TradingSessionListRequest
BJ 	TradingSessionList
BK 	SecurityListUpdateReport
BL 	AdjustedPositionReport
BM 	AllocationInstructionAlert
BN 	ExecutionAcknowledgement
BO 	ContraryIntentionReport
BP 	SecurityDefinitionUpdateReport
C 	Email
E 	NewOrderList
H 	OrderStatusRequest
J 	AllocationInstruction
K 	ListCancelRequest
L 	ListExecute
M 	ListStatusRequest
N 	ListStatus
P 	AllocationInstructionAck
Q 	DontKnowTradeDK
R 	QuoteRequest
S 	Quote
T 	SettlementInstructions
V 	MarketDataRequest
W 	MarketDataSnapshotFullRefresh
X 	MarketDataIncrementalRefresh
Y 	MarketDataRequestReject
Z 	QuoteCancel
a 	QuoteStatusRequest
b 	MassQuoteAcknowledgement
c 	SecurityDefinitionRequest
d 	SecurityDefinition
e 	SecurityStatusRequest
f 	SecurityStatus
g 	TradingSessionStatusRequest
h 	TradingSessionStatus
i 	MassQuote
j 	BusinessMessageReject
k 	BidRequest
l 	BidResponse
m 	ListStrikePrice
n 	XML_non_FIX
o 	RegistrationInstructions
p 	RegistrationInstructionsResponse
q 	OrderMassCancelRequest
r 	OrderMassCancelReport
s 	NewOrderCross
t 	CrossOrderCancelReplaceRequest
u 	CrossOrderCancelRequest
v 	SecurityTypeRequest
w 	SecurityTypes
x 	SecurityListRequest
y 	SecurityList
z 	DerivativeSecurityListRequest
